time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
4800,232.89700000000002,832.9060000000001,1175.499
4820,228.217,817.68,1156.275
4840,236.22299999999998,843.062,1192.315
4860,238.87400000000002,852.8919999999999,1204.982
4880,233.922,832.7080000000001,1174.695
4900,225.43900000000002,800.893,1130.4089999999999
4920,223.83900000000003,793.1210000000001,1114.879
4940,205.75,727.1030000000001,1022.263
4960,205.185,721.955,1012.263
4980,195.708,686.762,961.5419999999999
5000,186.43599999999998,653.691,915.503
5020,194.736,681.612,951.946
5040,186.667,651.14,909.209
5060,180.15599999999998,627.308,875.268
5080,165.765,573.533,796.819
5100,147.424,510.18699999999995,711.52
5120,159.378,547.812,758.467
5140,159.96200000000002,551.4119999999999,764.544
5160,175.405,603.313,836.88
5180,187.359,643.9830000000001,892.0880000000001
5200,180.97400000000002,621.526,861.173
5220,181.937,623.202,861.957
5240,190.125,648.83,894.79
5260,183.71599999999998,625.994,861.459
5280,177.085,599.153,821.502
5300,148.957,504.718,697.06
5320,137.608,467.05199999999996,645.869
5340,164.32299999999998,553.885,758.405
5360,167.09599999999998,562.785,770.221
5380,167.18099999999998,564.835,776.0169999999999
5400,181.935,611.644,836.916
5420,152.311,512.836,706.3580000000001
5440,135.865,457.315,631.278
5460,146.971,492.034,675.0060000000001
5480,157.533,527.053,721.681
5500,162.28,542.717,743.122
5520,144.649,483.358,663.97
5540,118.275,396.402,549.986
5560,148.804,497.921,686.865
5580,198.92,664.284,910.12
5600,205.386,685.6489999999999,939.9839999999999
5620,212.662,708.6160000000001,969.25
5640,227.72099999999998,759.78,1042.094
5660,261.04200000000003,870.118,1191.318
5680,251.825,838.9760000000001,1149.96
5700,254.102,844.488,1155.46
5720,249.007,828.1519999999999,1132.896
5740,240.602,797.3430000000001,1089.547
5760,238.671,789.459,1079.59
5780,235.90599999999998,778.5219999999999,1061.616
5800,216.73,713.842,972.002
5820,196.91,646.5269999999999,877.5419999999999
5840,185.521,607.8240000000001,825.183
5860,191.607,625.048,844.8889999999999
5880,181.65099999999998,592.2869999999999,800.388
5900,177.93400000000003,577.931,780.008
5920,182.805,595.5740000000001,807.6289999999999
5940,216.91099999999997,705.311,952.37
5960,220.072,716.283,968.68
5980,205.905,670.0060000000001,909.717
6000,216.155,703.5369999999999,955.5980000000001
6020,243.168,790.255,1069.2910000000002
6040,220.582,716.2760000000001,971.2360000000001
6060,203.102,660.205,897.217
6080,198.405,642.779,870.688
6100,195.403,628.719,847.015
6120,161.24200000000002,517.981,699.4580000000001
6140,157.18,506.885,687.113
6160,197.792,636.957,860.7389999999999
6180,188.503,606.344,820.413
6200,163.183,523.784,708.044
6220,138.69,445.411,605.4830000000001
6240,159.41899999999998,509.162,687.268
6260,179.067,572.345,770.993
6280,178.537,568.607,762.992
6300,149.183,474.62699999999995,637.86
6320,138.435,438.07,586.7769999999999
6340,120.351,382.149,516.1
6360,133.05700000000002,422.00800000000004,567.872
6380,171.25099999999998,540.819,721.1089999999999
6400,150.616,477.44800000000004,641.096
6420,143.049,451.481,605.681
6440,147.998,468.89099999999996,631.123
6460,163.555,517.313,694.53
6480,196.31599999999997,621.033,833.2560000000001
6500,246.332,781.395,1049.685
6520,250.175,794.163,1069.655
6540,239.141,757.523,1018.655
6560,316.644,1004.262,1351.435
6580,350.852,1115.274,1504.495
6600,356.908,1130.135,1520.3829999999998
6620,346.398,1095.49,1474.3470000000002
6640,349.452,1107.535,1490.3970000000002
6660,349.24300000000005,1104.512,1484.158
6680,361.736,1144.035,1531.954
6700,370.421,1165.855,1569.629
6720,369.72,1162.894,1555.9389999999999
6740,315.495,989.945,1321.473
6760,314.79400000000004,984.645,1313.398
6780,299.938,935.283,1241.86
6800,232.229,720.885,955.284
6820,275.98900000000003,855.248,1129.971
6840,289.302,896.933,1188.121
6860,284.173,882.885,1169.62
6880,282.08,872.462,1148.863
6900,294.485,909.793,1199.815
6920,315.65,977.8860000000001,1292.5
6940,361.01599999999996,1121.6760000000002,1489.286
6960,2.036,2.046,2.046
6980,404.58,1260.684,1686.9660000000001
7000,430.036,1337.354,1787.91
7020,449.524,1400.261,1873.62
7040,465.434,1449.263,1940.7060000000001
7060,479.31199999999995,1493.599,2002.6660000000002
7080,508.082,1582.1429999999998,2119.074
7100,497.344,1547.1670000000001,2078.3379999999997
7120,517.23,1607.4470000000001,2153.072
7140,493.352,1531.5720000000001,2048.5570000000002
7160,481.405,1492.856,1992.621
7180,490.05300000000005,1518.71,2028.005
7200,425.274,1310.103,1744.69
7220,433.059,1331.4720000000002,1771.779
7240,392.845,1204.851,1595.3020000000001
7260,333.92900000000003,1022.1510000000001,1351.7479999999998
7280,361.466,1105.809,1461.735
7300,316.47900000000004,964.303,1270.506
7320,299.253,912.073,1205.69
7340,338.75,1032.7939999999999,1362.135
7360,357.87300000000005,1089.263,1436.9579999999999
7380,326.965,994.077,1313.31
7400,412.51199999999994,1261.833,1679.89
7420,426.457,1303.036,1727.5520000000001
7440,310.805,946.2,1252.823
7460,352.88300000000004,1074.2069999999999,1420.9560000000001
7480,395.41,1205.862,1597.0870000000002
7500,401.654,1217.384,1605.1670000000001
7520,365.436,1107.414,1462.665
7540,379.86300000000006,1150.277,1511.872
7560,333.81699999999995,1007.6089999999999,1323.628
7580,493.784,1497.8929999999998,1985.0639999999999
7600,554.047,1685.019,2232.897
7620,590.405,1792.247,2372.0
7640,487.657,1470.1370000000002,1933.725
7660,406.454,1214.397,1590.116
7680,370.97900000000004,1108.42,1448.1760000000002
7700,571.318,1728.63,2283.092
7720,668.4780000000001,2030.32,2697.151
7740,687.0939999999999,2085.614,2760.913
7760,651.112,1962.006,2581.158
